,#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp.Attack,Sp.Defence,Speed,Sprite,URL
205,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,hoothoot
206,164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,noctowl
207,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,ledyba
208,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,ledian
209,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,spinarak
210,168,Ariados,Bug,Poison,400,70,90,70,60,70,40,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,ariados
211,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,crobat
212,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,chinchou
213,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,lanturn
214,172,Pichu,Electric,,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,pichu
215,173,Cleffa,Fairy,,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,cleffa
216,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,igglybuff
217,175,Togepi,Fairy,,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,togepi
218,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,togetic
219,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,natu
220,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,xatu
221,179,Mareep,Electric,,280,55,40,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,mareep
222,180,Flaaffy,Electric,,365,70,55,55,80,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,flaaffy
223,181,Ampharos,Electric,,510,90,75,85,115,90,55,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,ampharos
224,181,Ampharos,Electric,Dragon,610,90,95,105,165,110,45,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,ampharos
225,182,Bellossom,Grass,,490,75,80,95,90,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,bellossom
226,183,Marill,Water,Fairy,250,70,20,50,20,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,marill
227,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,azumarill
228,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,sudowoodo
229,186,Politoed,Water,,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,politoed
230,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,hoppip
231,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,skiploom
232,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,jumpluff
233,190,Aipom,Normal,,360,55,70,55,40,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,aipom
234,191,Sunkern,Grass,,180,30,30,30,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,sunkern
235,192,Sunflora,Grass,,425,75,75,55,105,85,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,sunflora
236,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,yanma
237,194,Wooper,Water,Ground,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,wooper
238,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,quagsire
239,196,Espeon,Psychic,,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,espeon
240,197,Umbreon,Dark,,525,95,65,110,60,130,65,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,umbreon
241,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,murkrow
242,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,slowking
243,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,misdreavus
244,201,Unown,Psychic,,336,48,72,48,72,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,unown
245,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,wobbuffet
246,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png,girafarig
247,204,Pineco,Bug,,290,50,65,90,35,35,15,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png,pineco
248,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png,forretress
249,206,Dunsparce,Normal,,415,100,70,70,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png,dunsparce
250,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png,gligar
251,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png,steelix
252,208,Steelix,Steel,Ground,610,75,125,230,55,95,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png,steelix
253,209,Snubbull,Fairy,,300,60,80,50,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png,snubbull
254,210,Granbull,Fairy,,450,90,120,75,60,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png,granbull
255,211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png,qwilfish
256,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,scizor
257,212,Scizor,Bug,Steel,600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png,scizor
258,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,shuckle
259,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png,heracross
260,214,Heracross,Bug,Fighting,600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png,heracross
261,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,sneasel
262,216,Teddiursa,Normal,,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,teddiursa
263,217,Ursaring,Normal,,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,ursaring
264,218,Slugma,Fire,,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,slugma
265,219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,magcargo
266,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,swinub
267,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,piloswine
268,222,Corsola,Water,Rock,410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,corsola
269,222,Corsola,Ghost,,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,corsola
270,223,Remoraid,Water,,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,remoraid
271,224,Octillery,Water,,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,octillery
272,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,delibird
273,226,Mantine,Water,Flying,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,mantine
274,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,skarmory
275,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,houndour
276,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png,houndoom
277,229,Houndoom,Dark,Fire,600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png,houndoom
278,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png,kingdra
279,231,Phanpy,Ground,,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png,phanpy
280,232,Donphan,Ground,,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png,donphan
281,233,Porygon2,Normal,,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png,porygon2
282,234,Stantler,Normal,,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png,stantler
283,235,Smeargle,Normal,,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png,smeargle
284,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,tyrogue
285,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,hitmontop
286,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,smoochum
287,239,Elekid,Electric,,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,elekid
288,240,Magby,Fire,,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,magby
289,241,Miltank,Normal,,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png,miltank
290,242,Blissey,Normal,,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,blissey
291,243,Raikou,Electric,,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png,raikou
292,244,Entei,Fire,,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png,entei
293,245,Suicune,Water,,580,100,75,115,90,115,85,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png,suicune
294,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png,larvitar
295,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png,pupitar
296,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,tyranitar
297,248,Tyranitar,Rock,Dark,700,100,164,150,95,120,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png,tyranitar
298,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png,lugia
299,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png,ho-oh
300,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png,celebi
301,252,Treecko,Grass,,310,40,45,35,65,55,70,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png,treecko
302,253,Grovyle,Grass,,405,50,65,45,85,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png,grovyle
303,254,Sceptile,Grass,,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,sceptile
304,254,Sceptile,Grass,Dragon,630,70,110,75,145,85,145,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png,sceptile
305,255,Torchic,Fire,,310,45,60,40,70,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png,torchic
306,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png,combusken
307,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,blaziken
308,257,Blaziken,Fire,Fighting,630,80,160,80,130,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png,blaziken
309,258,Mudkip,Water,,310,50,70,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png,mudkip
310,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png,marshtomp
311,260,Swampert,Water,Ground,535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,swampert
312,260,Swampert,Water,Ground,635,100,150,110,95,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png,swampert
313,261,Poochyena,Dark,,220,35,55,35,30,30,35,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png,poochyena
314,262,Mightyena,Dark,,420,70,90,70,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png,mightyena
315,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png,zigzagoon
316,263,Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png,zigzagoon
317,264,Linoone,Normal,,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png,linoone
318,264,Linoone,Dark,Normal,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png,linoone
319,265,Wurmple,Bug,,195,45,45,35,20,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png,wurmple
320,266,Silcoon,Bug,,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png,silcoon
321,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png,beautifly
322,268,Cascoon,Bug,,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png,cascoon
323,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png,dustox
324,270,Lotad,Water,Grass,220,40,30,30,40,50,30,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png,lotad
325,271,Lombre,Water,Grass,340,60,50,50,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png,lombre
326,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,ludicolo
327,273,Seedot,Grass,,220,40,40,50,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png,seedot
328,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png,nuzleaf
329,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,shiftry
330,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png,taillow
331,277,Swellow,Normal,Flying,455,60,85,60,75,50,125,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png,swellow
332,278,Wingull,Water,Flying,270,40,30,30,55,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png,wingull
333,279,Pelipper,Water,Flying,440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,pelipper
334,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png,ralts
335,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png,kirlia
336,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png,gardevoir
337,282,Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png,gardevoir
338,283,Surskit,Bug,Water,269,40,30,32,50,52,65,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png,surskit
339,284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png,masquerain
340,285,Shroomish,Grass,,295,60,40,60,40,60,35,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png,shroomish
341,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png,breloom
342,287,Slakoth,Normal,,280,60,60,60,35,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png,slakoth
343,288,Vigoroth,Normal,,440,80,80,80,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png,vigoroth
344,289,Slaking,Normal,,670,150,160,100,95,65,100,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png,slaking
345,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png,nincada
346,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png,ninjask
347,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png,shedinja
348,293,Whismur,Normal,,240,64,51,23,51,23,28,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png,whismur
349,294,Loudred,Normal,,360,84,71,43,71,43,48,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png,loudred
350,295,Exploud,Normal,,490,104,91,63,91,73,68,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png,exploud
351,296,Makuhita,Fighting,,237,72,60,30,20,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png,makuhita
352,297,Hariyama,Fighting,,474,144,120,60,40,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png,hariyama
353,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,azurill
354,299,Nosepass,Rock,,375,30,45,135,45,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png,nosepass
355,300,Skitty,Normal,,260,50,45,45,35,35,50,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png,skitty
356,301,Delcatty,Normal,,400,70,65,65,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png,delcatty
357,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png,sableye
358,302,Sableye,Dark,Ghost,480,50,85,125,85,115,20,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png,sableye
359,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png,mawile
360,303,Mawile,Steel,Fairy,480,50,105,125,55,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png,mawile
361,304,Aron,Steel,Rock,330,50,70,100,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png,aron
362,305,Lairon,Steel,Rock,430,60,90,140,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png,lairon
363,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png,aggron
364,306,Aggron,Steel,,630,70,140,230,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png,aggron
365,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png,meditite
366,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png,medicham
367,308,Medicham,Fighting,Psychic,510,60,100,85,80,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png,medicham
368,309,Electrike,Electric,,295,40,45,40,65,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png,electrike
369,310,Manectric,Electric,,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png,manectric
370,310,Manectric,Electric,,575,70,75,80,135,80,135,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png,manectric
371,311,Plusle,Electric,,405,60,50,40,85,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png,plusle
372,312,Minun,Electric,,405,60,40,50,75,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png,minun
373,313,Volbeat,Bug,,430,65,73,75,47,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png,volbeat
374,314,Illumise,Bug,,430,65,47,75,73,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png,illumise
375,315,Roselia,Grass,Poison,400,50,60,45,100,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png,roselia
376,316,Gulpin,Poison,,302,70,43,53,43,53,40,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png,gulpin
377,317,Swalot,Poison,,467,100,73,83,73,83,55,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png,swalot
378,318,Carvanha,Water,Dark,305,45,90,20,65,20,65,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png,carvanha
379,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png,sharpedo
380,319,Sharpedo,Water,Dark,560,70,140,70,110,65,105,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png,sharpedo
381,320,Wailmer,Water,,400,130,70,35,70,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png,wailmer
382,321,Wailord,Water,,500,170,90,45,90,45,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png,wailord
383,322,Numel,Fire,Ground,305,60,60,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png,numel
384,323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png,camerupt
385,323,Camerupt,Fire,Ground,560,70,120,100,145,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png,camerupt
386,324,Torkoal,Fire,,470,70,85,140,85,70,20,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png,torkoal
387,325,Spoink,Psychic,,330,60,25,35,70,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png,spoink
388,326,Grumpig,Psychic,,470,80,45,65,90,110,80,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png,grumpig
389,327,Spinda,Normal,,360,60,60,60,60,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png,spinda
390,328,Trapinch,Ground,,290,45,100,45,45,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png,trapinch
391,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png,vibrava
392,330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png,flygon
393,331,Cacnea,Grass,,335,50,85,40,85,40,35,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png,cacnea
394,332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png,cacturne
395,333,Swablu,Normal,Flying,310,45,40,60,40,75,50,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png,swablu
396,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png,altaria
397,334,Altaria,Dragon,Fairy,590,75,110,110,110,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png,altaria
398,335,Zangoose,Normal,,458,73,115,60,60,60,90,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png,zangoose
399,336,Seviper,Poison,,458,73,100,60,100,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png,seviper
400,337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png,lunatone
401,338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png,solrock
402,339,Barboach,Water,Ground,288,50,48,43,46,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png,barboach
403,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,https://img.pokemondb.net/sprites/sword-shield/icon/whiscash.png,whiscash
404,341,Corphish,Water,,308,43,80,65,50,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/corphish.png,corphish
405,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/crawdaunt.png,crawdaunt
406,343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/baltoy.png,baltoy
407,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,https://img.pokemondb.net/sprites/sword-shield/icon/claydol.png,claydol
408,345,Lileep,Rock,Grass,355,66,41,77,61,87,23,https://img.pokemondb.net/sprites/sword-shield/icon/lileep.png,lileep
409,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png,cradily
410,347,Anorith,Rock,Bug,355,45,95,50,40,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/anorith.png,anorith
411,348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/armaldo.png,armaldo
412,349,Feebas,Water,,200,20,15,20,10,55,80,https://img.pokemondb.net/sprites/sword-shield/icon/feebas.png,feebas
